NC LIVE resource usage report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,Vendor,20-Jan,20-Jan,20-Jan,20-Jan,20-Feb,20-Feb,20-Feb,20-Feb,20-Mar,20-Mar,20-Mar,20-Mar,20-Apr,20-Apr,20-Apr,20-Apr,20-May,20-May,20-May,20-May,20-Jun,20-Jun,20-Jun,20-Jun,20-Jul,20-Jul,20-Jul,20-Jul,20-Aug,20-Aug,20-Aug,20-Aug,20-Sep,20-Sep,20-Sep,20-Sep,20-Oct,20-Oct,20-Oct,20-Oct,20-Nov,20-Nov,20-Nov,20-Nov,20-Dec,20-Dec,20-Dec,20-Dec,21-Jan,21-Jan,21-Jan,21-Jan,Totals,Totals,Totals,Totals
Source,Vendor,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews
hoopla Ebooks,Midwest Tapes (hoopla),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India Database,ProQuest Company,0,562,0,0,0,"2,187",0,0,0,"1,711",0,0,0,"1,555",0,0,0,327,0,0,0,458,0,0,0,377,0,0,0,277,0,0,0,824,0,0,0,"1,532",0,0,0,"1,634",0,0,0,399,0,0,0,181,0,0,0,"12,024",0,0
International Newsstream,ProQuest Company,0,562,0,0,0,"2,187",0,0,0,"1,711",0,0,0,"1,556",0,0,0,328,0,0,0,458,0,0,0,377,0,0,0,277,0,0,0,824,0,0,0,"1,533",0,0,0,"1,635",0,0,0,399,0,0,0,181,0,0,0,"12,028",0,0
Just for Kids Streaming Collection,Infobase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latin America & Iberia Database,ProQuest Company,0,563,3,3,0,"2,187",11,11,0,"1,711",3,3,0,"1,555",4,4,0,327,0,0,0,458,5,7,0,377,0,0,0,277,0,0,0,824,0,0,0,"1,532",5,5,0,"1,635",1,2,0,399,0,0,0,181,0,0,0,"12,026",32,35
LearningExpress Library Complete and PrepSTEP Academic,LearningExpress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Library Science Database,ProQuest Company,0,562,11,13,0,"2,187",52,58,0,"1,711",12,17,0,"1,555",23,24,0,327,6,6,0,458,13,14,0,377,4,4,0,277,0,0,0,824,13,17,0,"1,532",22,25,0,"1,634",20,23,0,399,7,7,0,181,0,0,0,"12,024",183,208
Linguistics Database,ProQuest Company,0,562,0,0,0,"2,187",3,3,0,"1,711",0,0,0,"1,555",0,0,0,327,0,0,0,458,0,0,0,377,0,0,0,277,1,1,0,824,3,3,0,"1,532",0,0,0,"1,634",2,2,0,399,0,0,0,181,1,1,0,"12,024",10,10
Mango Languages,Mango Languages,0,0,138,138,0,0,140,140,0,0,67,67,0,0,41,41,0,0,23,23,0,0,13,13,0,0,17,17,0,0,2,2,0,0,13,13,0,0,9,9,0,0,20,20,0,0,6,6,0,0,0,0,0,0,489,489
MasterFILE Premier,EBSCOhost,15,1,14,28,47,7,44,88,25,3,26,53,34,18,43,91,4,0,5,9,21,10,16,37,10,7,17,30,1,0,0,1,16,3,15,28,11,1,4,13,10,33,21,45,7,0,5,13,1,1,0,0,202,84,210,436
